	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Spur_Aboral ectoderm	Spur_Anus	Spur_Apical plate	Spur_Blastocoelar cells	Spur_Cardiac sphincter	Spur_Ciliary band	Spur_Coelomic pouches	Spur_Esophageal muscles	Spur_Esophagus	Spur_Exocrine pancreas-like	Spur_Immune cells	Spur_Intestine	Spur_Lower oral ectoderm	Spur_Neurons	Spur_Pyloric sphincter	Spur_Skeleton	Spur_Stomach (1)	Spur_Stomach (2)	Spur_Stomach (3)	Spur_Undefined	Spur_Upper oral ectoderm
Xboc_CILIATED_CELLS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2372874558332966	0.05573780204085031	0.3220348038328843	0.012437924437308255	0.035346538670504406	0.2834371796098066	0.10764729345891469	0.013841616684972257	0.0850040241302482	0.0267574168572167	0.08332793773664222	0.05801382255655914	0.011521522358015382	0.13326342927108364	0.09164726925536434	0.05711799165262007	0.09169408920952198	0.04175382062579376	0.05197635845372502	0.2318169344101201	0.1259563100883825
Xboc_EPIDERMIS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49052419949682713	0.1366601307879462	0.20525379867145138	0.30715473845495034	0.0344980691141704	0.09887912647681284	0.07032849132457199	0.0087399986709654	0.1607320359599945	0.03756728831270915	0.4266290291058888	0.12034027641742964	0.15334426358667055	0.12701632037073995	0.02903762500815611	0.05788467099850908	0.059461873555712766	0.04227017907175048	0.01698203448552147	0.4644279016460092	0.22200239905993152
Xboc_EXCRETORY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009254408083097378	0.746726042111211	0.001198186836006735	0.0	0.012817265074619052	0.00804121353182121	0.0006011585643548017	0.0005014389170542093	0.0037654843968382193	0.005697991474471527	0.016636773044464793	0.08317125268837831	0.001099659865013009	0.0	0.0055973662496024085	0.0	0.007733370125868428	0.003340576365963223	0.0011957565489334606	0.08173386764757154	0.021276502428263476
Xboc_GLAND1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02863906309135587	0.0018163511067761707	0.007020586442180178	0.001983769823551402	0.00013033695511428914	0.022418292046335435	0.001753360531826801	0.000587120146927145	0.008629824338763546	0.0006955911076730544	0.007031780516275931	0.002650394057466606	0.002389810945898886	0.005134722970923794	7.218651139830715e-05	0.02134591386922418	0.012855683041296317	0.003646107667128628	0.0002567349697262449	0.6272707974094586	0.07003413638633074
Xboc_GLAND2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026690405389484573	0.013035683936589354	0.033731544464590375	0.03745176309909763	0.014935762405039498	0.08698762117388154	0.04260381290661659	0.029168799877725353	0.010898306119681869	0.045381138040418136	0.019865009199189158	0.0344603546369021	0.00149110662035272	0.009905825133086656	0.08562888618157596	0.004865187940179734	0.12195815853221308	0.04221171605883979	0.08192787403487264	0.2857810616772174	0.09423223305635722
Xboc_GLAND3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010369143900370777	0.00877762595116179	0.005865138340737782	0.016263111579553853	0.027183906098419613	0.018128236012384526	0.0007021580754667182	0.026557062121644374	0.0024699469995029086	0.6543397655775978	0.01152480936963634	0.008861349839436013	0.0	0.005448863617377173	0.0053636857609037315	0.0	0.03413446241731872	0.021851312459197157	0.005204156274666631	0.3690758211565754	0.02463650506723624
Xboc_GLAND4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08113672943036473	0.0016286036626161234	0.0032695475758395425	0.0	0.0	0.05155743509256618	0.001743463476995995	0.0	0.0005552296686997096	0.009917908718784842	0.016807945869046898	0.003778756766959284	0.010822154029725313	0.001391912067305157	0.0037776410938749547	0.0008347831236245065	0.008516009840831196	0.0003674501490544944	0.0	0.42714182284475655	0.0873678312073407
Xboc_GUT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19334377729285168	0.5043520274447219	0.20055301596315228	0.1768339352899228	0.41958682802989805	0.2763668117711631	0.23457332374741108	0.08284393903481137	0.297503121017065	0.2739488653863584	0.3276803179389034	0.6440313090493371	0.19875915975500064	0.2319183197777913	0.6918535548686072	0.1291869062722218	0.8389135755918635	0.7855907415626955	0.5441540098086245	0.3558438249401018	0.4057282144601274
Xboc_MUSCLE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01577911745995861	0.028477417087743144	0.012173671840164362	0.6310850084248465	0.41292563056715953	0.011076060797015997	0.03832748479372968	0.9912983633018803	0.025518545938263536	0.017254378018935583	0.018992596797623856	0.013200062128337131	0.016698752531255717	0.04821453431095786	0.005693464243833286	0.03934039697893345	0.021142520944945523	0.009419831852916068	0.008598609993000392	0.14011215425437856	0.03290741037549649
Xboc_MUSCLE-LIKE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013658735345686984	0.006091636619663584	0.01080890833177962	0.05116850549599709	0.004733068452886362	0.10533816370126863	0.0012918845399057814	0.011193542320789295	0.006543270756316055	0.003328659818807346	0.029258601095850705	0.01922593448067928	0.002025600472613129	0.0010932189698523074	0.008548447280795445	0.0009546584654583417	0.08500320617974892	0.030894095028046225	0.0006098230534887513	0.234139461177522	0.09420204647338803
